YDL179W	-0.69	-0.96	-1.16	-0.66	-0.55	0.12	-1.07	-1.22	0.82	1.46	1.4	0.71	0.68	0.11		0.19	0.82
YLR079W	-0.3	-0.56	-0.29	-0.5	-0.27	-0.29	-0.56	-1.04	0.32	1.57	0.9	0.45	0.17		-0.12	-0.16	0.67
YER111C	-0.21	0.19	0.86	0.04	-0.35	-0.39	-0.51	-0.2	0	0.92	0.77	0.41	0.14	-0.45	-1.23		
YBR200W	0.07	0.26	-0.47	-0.68	-0.63	-0.39	0.07	0.79	0.58	0.44	0.31	-0.14	-0.29		-0.2	-0.06	0.36
YJL194W	-0.89	0.77	-0.25	-0.71	-0.33	0.05	-0.15	-0.42	0.68	0.88	-0.06	0.17	-0.15	0.07		-0.23	0.58
YLR274W	-0.18	0.14	-0.04	-0.76	-0.68	-0.53	-0.37	0.19	0.81	0.97	0.56	0.03	-0.26		-0.41	0.09	0.45
YBR202W	-1.17	0.09	-0.52	-1.04	-1.16	-0.83	0.17	0.93	0.89	1.04	0.52	-0.24	-0.46		0.2	0.91	0.68
YPR019W	-0.42	-0.57	0.08	-0.44	-0.36	-0.18	-0.15	0.56	0.63	0.97	0.48	-0.67	-0.45		-0.02	-0.05	0.6
YBL023C	-1.04	0.13	0.51	-0.44	-0.88	-0.32	0.21	0.95	1.07	0.47	0.38	0.01	-0.13	-0.78	-0.13		
YEL032W	-0.16	0.35	-0.13	-0.26	-0.4	-0.47	0.1	0.74	0.45	0.59	0.04	-0.3	-0.3		-0.59	0.14	0.2
YGR044C	0.54	-0.73	-1.33	-1.02	-0.6	0	-0.58	-1.05	0.01	1.33	1.34	1	0.39	0.21		-0.22	0.71
YML109W	-0.45	-0.1	1.04	0.44	0.07	0.27	0.17	-0.33	-0.37	0.31	0.41	0.17	0.04		-0.24	-0.67	-0.76
YJL157C	-1.18	-1.02	-1.74	-1.69	-0.82	-0.19	-0.31	0.72	0.76	1.75	1.43	0.44	0		0.22	0.47	1.16
YKL185W	-0.29	-0.86	-1.21	-0.86	-0.54	-0.51	-0.92	-0.34	0.78	2	1.35	0.46	0.23		-0.51	0.16	1.05
YHR005C	-0.15	0.32	0.23	-0.76	-1.16	-0.9	-0.23	0.28	0.45	0.99	0.99	0.2	-0.28	-0.53		0	0.54
YNR001C		-1.03	-1.19	-0.75	-0.2	-0.67	-0.41	-0.13	0.48	1.05	0.87	0.54	0.41		0.26	0.24	0.54
YKL150W	-0.23	-0.8	-1.19	-0.47	-0.05	-0.2	-0.26	-0.49	0.39	0.8	0.5	0.45	0.19		0.16	0.6	0.62
YLR395C	0.05	-0.61	-0.48	-0.86	-0.37	-0.2	-0.02	-0.45	0.01	0.79	0.29	0.24	0.04		0.14	0.7	0.75
YOR065W	0.36	-0.67	-1.36	-0.72	-0.47	-0.3	-0.83	-0.46	0.21	0.89	0.57	0.5	0.26		0.35	1.03	0.64
YDL181W	-0.39	-0.59	-0.54	-1.08	-0.63	0.12	-0.05	-0.8	-0.01	1.42	0.49	0.41	-0.06		0.12	0.5	1.09
YGR183C	-0.05	-0.65	-0.71	-0.28	-0.25	-0.37	0	0.06	0.17	1.07	0.5	0		-0.19	0.34	0.09	0.27
YLR258W	0.75	-0.54	-0.97	-0.61	-0.45	-0.08	-0.06	-0.09	-0.52	0.41	1.04	0.63	0.32		0.21	-0.03	-0.01
